icd_code,icd_version,long_title
10,9,Cholera due to vibrio cholerae
11,9,Cholera due to vibrio cholerae el tor
19,9,"Cholera, unspecified"
20,9,Typhoid fever
21,9,Paratyphoid fever A
22,9,Paratyphoid fever B
23,9,Paratyphoid fever C
29,9,"Paratyphoid fever, unspecified"
30,9,Salmonella gastroenteritis
31,9,Salmonella septicemia
320,9,"Localized salmonella infection, unspecified"
321,9,Salmonella meningitis
322,9,Salmonella pneumonia
323,9,Salmonella arthritis
324,9,Salmonella osteomyelitis
329,9,Other localized salmonella infections
38,9,Other specified salmonella infections
39,9,"Salmonella infection, unspecified"
40,9,Shigella dysenteriae
41,9,Shigella flexneri
42,9,Shigella boydii
43,9,Shigella sonnei
48,9,Other specified shigella infections
49,9,"Shigellosis, unspecified"
50,9,Staphylococcal food poisoning
51,9,Botulism food poisoning
52,9,Food poisoning due to Clostridium perfringens (C. welchii)
53,9,Food poisoning due to other Clostridia
54,9,Food poisoning due to Vibrio parahaemolyticus
581,9,Food poisoning due to Vibrio vulnificus
589,9,Other bacterial food poisoning
59,9,"Food poisoning, unspecified"
60,9,Acute amebic dysentery without mention of abscess
61,9,Chronic intestinal amebiasis without mention of abscess
62,9,Amebic nondysenteric colitis
63,9,Amebic liver abscess
64,9,Amebic lung abscess
65,9,Amebic brain abscess
66,9,Amebic skin ulceration
68,9,Amebic infection of other sites
69,9,"Amebiasis, unspecified"
70,9,Balantidiasis
71,9,Giardiasis
72,9,Coccidiosis
73,9,Intestinal trichomoniasis
74,9,Cryptosporidiosis
75,9,Cyclosporiasis
78,9,Other specified protozoal intestinal diseases
79,9,Unspecified protozoal intestinal disease
800,9,"Intestinal infection due to E. coli, unspecified"
801,9,Intestinal infection due to enteropathogenic E. coli
802,9,Intestinal infection due to enterotoxigenic E. coli
803,9,Intestinal infection due to enteroinvasive E. coli
804,9,Intestinal infection due to enterohemorrhagic E. coli
809,9,Intestinal infection due to other intestinal E. coli infections
81,9,Intestinal infection due to arizona group of paracolon bacilli
82,9,Intestinal infection due to aerobacter aerogenes
83,9,Intestinal infection due to proteus (mirabilis) (morganii)
